title,date,summary,url
VinSpeed và Siemens Mobility ký thoả thuận hợp tác chiến lược toàn diện về đường sắt tốc độ cao,2025-12-17T19:46:05.117Z,"CTCP Đầu tư và Phát triển Đường sắt cao tốc VinSpeed (Tập đoàn Vingroup) và Công ty Siemens Mobility GmbH (Tập đoàn Siemens AG, Đức) chính thức ký kết Thỏa thuận Hợp tác Chiến lược Toàn diện và Chuyển giao công nghệ, qua đó thiết lập quan hệ hợp tác sâu rộng trong lĩnh vực đường sắt tốc độ cao tại Việt Nam.",https://vietstock.vn/2025/12/vinspeed-va-siemens-mobility-ky-thoa-thuan-hop-tac-chien-luoc-toan-dien-ve-duong-sat-toc-do-cao-4221-1382313.htm
VN-Index lao dốc hơn 94 điểm: Khi các trụ lớn quay lưng với thị trường,2025-12-14T21:19:00.707Z,"Tuần giao dịch tiêu cực nhất kể từ tháng 4/2025 chứng kiến sự thất thế toàn diện của các trụ cột, khi rổ VN30 gần như nhuộm đỏ và VN-Index mất hơn 94 điểm.",https://vietstock.vn/2025/12/vn-index-lao-doc-hon-94-diem-khi-cac-tru-lon-quay-lung-voi-thi-truong-830-1381004.htm
Giá trị vốn hóa cổ phiếu HOSE tương đương 65% GDP,2025-12-11T12:19:19.120Z,"Vào cuối tháng 11/2025, giá trị vốn hóa cổ phiếu trên HOSE đạt hơn 7.49 triệu tỷ đồng, tăng gần 4.1% so với tháng trước và tương đương 65% GDP năm 2024. Những doanh nghiệp có vốn hóa lớn nhất là Vingroup, Vietcombank và Vinhomes.",https://vietstock.vn/2025/12/gia-tri-von-hoa-co-phieu-hose-tuong-duong-65-gdp-830-1380251.htm
"Theo dấu dòng tiền cá mập 10/12: Tự doanh, khối ngoại giao dịch cầm chừng trong ngày VN-Index rơi mạnh",2025-12-10T19:19:48.130Z,"Sự cẩn trọng được khối ngoại và khối tự doanh công ty chứng khoán thể hiện, giữa bối cảnh thị trường chịu áp lực bởi nhóm cổ phiếu họ Vingroup.",https://vietstock.vn/2025/12/theo-dau-dong-tien-ca-map-1012-tu-doanh-khoi-ngoai-giao-dich-cam-chung-trong-ngay-vn-index-roi-manh-830-1380132.htm
"Theo dấu dòng tiền cá mập 09/12: Tự doanh và khối ngoại trái chiều, họ Vingroup gây chú ý",2025-12-09T19:20:00.000Z,"Phiên giao dịch 09/12 chứng kiến sự trái ngược trong hành động của khối ngoại và tự doanh công ty chứng khoán. Trong đó, nhóm cổ phiếu họ Vingroup (VIC và VHM) gây chú ý khi thay nhau dẫn đầu danh sách mua ròng và bán ròng của các cá mập.",https://vietstock.vn/2025/12/theo-dau-dong-tien-ca-map-0912-tu-doanh-va-khoi-ngoai-trai-chieu-ho-vingroup-gay-chu-y-830-1379811.htm
VIC: CBTT Tập đoàn Vingroup đầu tư ra nước ngoài,2025-12-08T19:00:15.000Z,,https://vietstock.vn/2025/12/vic-cbtt-tap-doan-vingroup-dau-tu-ra-nuoc-ngoai-737-1379495.htm
VIC124005: CBTT về việc Vingroup đầu tư ra nước ngoài,2025-12-08T17:03:00.000Z,,https://vietstock.vn/2025/12/vic124005-cbtt-ve-viec-vingroup-dau-tu-ra-nuoc-ngoai-737-1379405.htm
VIC124003: CBTT về việc Vingroup đầu tư ra nước ngoài,2025-12-08T17:03:00.000Z,,https://vietstock.vn/2025/12/vic124003-cbtt-ve-viec-vingroup-dau-tu-ra-nuoc-ngoai-737-1379407.htm
VIC124004: CBTT về việc Vingroup đầu tư ra nước ngoài,2025-12-08T17:01:00.000Z,,https://vietstock.vn/2025/12/vic124004-cbtt-ve-viec-vingroup-dau-tu-ra-nuoc-ngoai-737-1379399.htm
VIC123029: CBTT về việc Vingroup đầu tư ra nước ngoài,2025-12-08T17:00:00.000Z,,https://vietstock.vn/2025/12/vic123029-cbtt-ve-viec-vingroup-dau-tu-ra-nuoc-ngoai-737-1379395.htm
VIC123028: CBTT về việc Vingroup đầu tư ra nước ngoài,2025-12-08T16:56:00.000Z,,https://vietstock.vn/2025/12/vic123028-cbtt-ve-viec-vingroup-dau-tu-ra-nuoc-ngoai-737-1379391.htm
"Nhịp đập Thị trường 08/12: Khối ngoại bán ròng mạnh VPL, nhóm Vingroup tiếp tục đỡ chỉ số",2025-12-08T16:37:00.000Z,"Kết thúc phiên giao dịch, VN-Index tăng 12.42 điểm (+0.71%), lên mức 1,753.74 điểm; HNX-Index giảm gần 2 điểm (-0.76%), xuống mức 258.68 điểm. Độ rộng toàn thị trường với sắc đỏ áp đảo khi bên bán có 446 mã giảm và bên mua có 268 mã tăng. Sắc đỏ cũng áp đảo trong rổ VN30 với 21 mã giảm, 7 mã tăng và 2 mã tham chiếu.",https://vietstock.vn/2025/12/nhip-dap-thi-truong-0812-khoi-ngoai-ban-rong-manh-vpl-nhom-vingroup-tiep-tuc-do-chi-so-1636-1379164.htm
Vingroup lên kế hoạch thành lập công ty con có vốn 28 triệu USD tại Congo,2025-12-08T10:08:16.543Z,"Ngày 06/12/2025, HĐQT Tập đoàn VINGROUP - CTCP (HOSE: VIC) thông qua góp vốn thành lập công ty con tại nước Cộng hòa Dân chủ Congo.",https://vietstock.vn/2025/12/vingroup-len-ke-hoach-thanh-lap-cong-ty-con-co-von-28-trieu-usd-tai-congo-737-1379128.htm
"Chứng khoán lấy lại mốc 1,700",2025-12-06T21:02:00.000Z,"VN-Index tăng thêm 50.33 điểm trong tuần đầu tháng 12, chỉ số đã lấy lại mốc 1,700. Trong đà tăng vừa qua, riêng 3 cổ phiếu họ Vingroup đã đóng góp tới 23.5 điểm, tương đương gần 47% mức tăng của chỉ số.",https://vietstock.vn/2025/12/chung-khoan-lay-lai-moc-1700-830-1379054.htm
"Hơn 23 điểm tăng từ họ Vingroup kéo VN-Index lên 1,741 điểm",2025-12-06T20:30:00.000Z,"VN-Index tăng thêm 50.33 điểm trong tuần đầu tháng 12, trong đó riêng 3 cổ phiếu họ Vingroup đã đóng góp tới 23.5 điểm, tương đương gần 47% mức tăng của chỉ số.",https://vietstock.vn/2025/12/hon-23-diem-tang-tu-ho-vingroup-keo-vn-index-len-1741-diem-830-1379014.htm
Nhịp đập Thị trường 04/12: Sắc xanh lan tỏa nhưng nhóm Vingroup sớm gây sức ép,2025-12-04T10:42:00.000Z,"Chứng khoán Việt Nam mở đầu phiên 04/12 với sắc xanh hiện diện trên cả 3 sàn, tuy nhiên mối lo sớm xuất hiện khi nhóm Vingroup nhanh chóng gây sức ép.",https://vietstock.vn/2025/12/nhip-dap-thi-truong-0412-sac-xanh-lan-toa-nhung-nhom-vingroup-som-gay-suc-ep-1636-1378304.htm
