sep=;
title;date;summary;url
Bộ Công an: 'Ông Phạm Nhật Vượng không nằm trong danh sách cấm xuất cảnh';2022-10-29T11:36:39.160Z;Trung tướng Tô Ân Xô, Chánh văn phòng kiêm người phát ngôn Bộ Công an, cho biết đến giờ phút này có thể khẳng định “ông Phạm Nhật Vượng của Vingroup (HOSE: VIC) không nằm trong danh sách cấm xuất cảnh”.;https://vietstock.vn/2022/10/bo-cong-an-ong-pham-nhat-vuong-khong-nam-trong-danh-sach-cam-xuat-canh-214-1013404.htm
Tỷ phú Phạm Nhật Vượng thành lập công ty đầu tư bất động sản;2022-10-06T06:47:29.450Z;Ông Phạm Nhật Vượng - Chủ tịch HĐQT Tập đoàn Vingroup (HOSE: VIC) góp vốn vào CTCP Quản lý và Đầu tư Bất động sản VMI (VMI JSC) bằng hơn 243 triệu cp VIC, chiếm 90% cổ phần của VMI JSC (vốn điều lệ 18,000 tỷ đồng).;https://vietstock.vn/2022/10/ty-phu-pham-nhat-vuong-thanh-lap-cong-ty-dau-tu-bat-dong-san-737-1006595.htm
Vinfast huy động gần 9 ngàn tỷ đồng trái phiếu trong 9 tháng đầu năm;2022-10-01T01:30:32.817Z;Theo thông báo mới đây, CTCP Sản xuất và Kinh doanh Vinfast (Vinfast), công ty con trực thuộc Tập đoàn VINGROUP (HOSE: VIC) đã huy động thành công 300 tỷ đồng thông qua phát hành trái phiếu.;https://vietstock.vn/2022/10/vinfast-huy-dong-gan-9-ngan-ty-dong-trai-phieu-trong-9-thang-dau-nam-3118-1005350.htm
Công ty mẹ khu du lịch Hòn Tằm nợ nần chồng chất;2022-09-13T00:02:43.463Z;Trước khi khu du lịch Hòn Tằm (TP Nha Trang) đổi chủ, Tập đoàn Khải Vy (công ty mẹ của Hòn Tằm Biển Nha Trang) đã vướng vào các khoản nợ nghìn tỷ.;https://vietstock.vn/2022/09/cong-ty-me-khu-du-lich-hon-tam-no-nan-chong-chat-757-1000913.htm
VIC121003: Điều chỉnh lại thông tin địa chỉ trụ sở chính của Tập đoàn Vingroup;2022-09-07T04:25:00.000Z;;https://vietstock.vn/2022/09/vic121003-dieu-chinh-lai-thong-tin-dia-chi-tru-so-chinh-cua-tap-doan-vingroup-830-999643.htm
VIC: Lãi ròng 6 tháng hơn 5,846 tỷ, tiền mặt hơn 42,200 tỷ đồng;2022-08-30T01:51:09.560Z;Tập đoàn Vingroup (HOSE: VIC) đã công bố BCTC hợp nhất soát xét cho kỳ 6 tháng đầu năm 2022 với  lãi ròng hơn 5,846 tỷ, tăng 63% so với cùng kỳ năm trước.;https://vietstock.vn/2022/08/vic-lai-rong-6-thang-hon-5846-ty-tien-mat-hon-42200-ty-dong-737-997256.htm
Thống nhất nội dung quan trọng của đường cao tốc Gia Nghĩa - Chơn Thành;2022-08-17T23:14:03.063Z;Dự án đường cao tốc Gia Nghĩa - Chơn Thành có điểm đầu giao với quốc lộ 14 hiện hữu thuộc tỉnh Đắk Nông, điểm cuối tại khu vực huyện Chơn Thành, tỉnh Bình Phước, chiều dài dự kiến khoảng 130 km.;https://vietstock.vn/2022/08/thong-nhat-noi-dung-quan-trong-cua-duong-cao-toc-gia-nghia-chon-thanh-4221-993587.htm
VRE12007: Công bố thông tin về việc ký Thoả Thuận Hợp Tác với Tập đoàn Vingroup;2022-08-15T08:28:00.000Z;;https://vietstock.vn/2022/08/vre12007-cong-bo-thong-tin-ve-viec-ky-thoa-thuan-hop-tac-voi-tap-doan-vingroup-830-992251.htm
SKIET bắt tay với Vingroup để cung ứng thiết bị phân tách pin xe điện;2022-08-09T02:29:21.280Z;SK IE Technology (SKIET), nhà sản xuất vật liệu điện tử thuộc Tập đoàn SK của Hàn Quốc, cho biết đã ký thỏa thuận với Tập đoàn Vingroup (HOSE: VIC) để cung ứng thiết bị phân tách pin xe điện cho Vin Energy Solution (VinES), công ty con của Vingroup.;https://vietstock.vn/2022/08/skiet-bat-tay-voi-vingroup-de-cung-ung-thiet-bi-phan-tach-pin-xe-dien-737-990169.htm
VIC đạt lãi ròng quý 2 hơn 3,000 tỷ đồng, tiền gửi ngắn hạn tăng mạnh;2022-07-29T09:33:13.477Z;Trong bối cảnh doanh thu quý 2/2022 suy giảm, lợi nhuận ròng của Tập đoàn VINGROUP (HOSE: VIC) không những không giảm mà còn vượt hơn 3 ngàn tỷ đồng, gấp 2.2 lần cùng kỳ.;https://vietstock.vn/2022/07/vic-dat-lai-rong-quy-2-hon-3000-ty-dong-tien-gui-ngan-han-tang-manh-737-986247.htm
Vingroup động thổ dự án nhà ở xã hội tại Thanh Hóa, Quảng Trị;2022-07-27T12:28:24.183Z;Ngày 27/07/2022, Tập đoàn Vingroup (HOSE: VIC) đã tiến hành động thổ hai dự nhà ở xã hội đầu tiên với số lượng 3,500 căn tại Thanh Hóa và Quảng Trị. Đây là bước khởi động cho chiến lược phát triển nhà ở xã hội thương hiệu Happy Home của Vingroup nhằm đáp ứng nhu cầu nhà ở giá rẻ cho người lao động, góp phần đảm bảo an sinh trên địa bàn.;https://vietstock.vn/2022/07/vingroup-dong-tho-du-an-nha-o-xa-hoi-tai-thanh-hoa-quang-tri-737-985444.htm
Tung tin giả về tỷ phú Phạm Nhật Vượng, phải bồi thường nếu gây thiệt hại cho thị trường chứng khoán;2022-07-12T08:47:49.603Z;"Theo luật sư, cần làm rõ ý đồ của người tung tin thất thiệt về tỷ phú Phạm Nhật Vượng bị cấm xuất cảnh để áp dụng biện pháp xử lý hành chính hoặc hình sự; đồng thời, người đưa tin giả phải bồi thường nếu chứng minh được hành vi này gây thiệt hại cho thị trường chứng khoán.";https://vietstock.vn/2022/07/tung-tin-gia-ve-ty-phu-pham-nhat-vuong-phai-boi-thuong-neu-gay-thiet-hai-cho-thi-truong-chung-khoan-4260-980152.htm
Làm rõ đối tượng tung tin thất thiệt việc tỷ phú Phạm Nhật Vượng bị cấm xuất cảnh;2022-07-11T09:21:25.057Z;Lực lượng chức năng Bộ Công an đã chuyển hồ sơ xử lý theo quy định của pháp luật đối với 1 trường hợp có hành vi đưa thông tin thất thiệt về ông Phạm Nhật Vượng, Chủ tịch VinGroup bị cấm xuất cảnh. Ngoài ra, Cơ quan Công an đang xác minh 9 cá nhân khác liên quan.;https://vietstock.vn/2022/07/lam-ro-doi-tuong-tung-tin-that-thiet-viec-ty-phu-pham-nhat-vuong-bi-cam-xuat-canh-4265-979857.htm
HNX: Bản công bố thông tin của Tập đoàn Vingroup-CTCP (VIC121003);2022-07-07T08:21:00.000Z;;https://vietstock.vn/2022/07/hnx-ban-cong-bo-thong-tin-cua-tap-doan-vingroupctcp-vic121003-830-979068.htm
HNX: Bản công bố thông tin của Tập đoàn Vingroup-CTCP (VIC121004);2022-07-07T08:21:00.000Z;;https://vietstock.vn/2022/07/hnx-ban-cong-bo-thong-tin-cua-tap-doan-vingroupctcp-vic121004-830-979069.htm
